Record Length,Analog:14000
Sample Interval,CH:0.0001999999949
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:+2.000000E-01 CH2:+1.000000E-02,,,
Vertical Offset,CH1:+0.000000E+00 CH2:-1.420000E-02,,,
Horizontal Units,us,,,
Horizontal Scale,200000.0000000000,,,
Model Number,SDS2352X-E,,,
Serial Number,SDS2ECCX5R0313,,,
Software Version,2.1.1.1.20 R3,,,
Source,CH1,CH2
Second,Volt,Volt
-1.336600E+00,-2.400000E-02,+4.980000E-02
-1.336400E+00,-2.400000E-02,+4.980000E-02
-1.336200E+00,-2.400000E-02,+4.940000E-02
-1.336000E+00,-2.400000E-02,+4.980000E-02
-1.335800E+00,-1.600000E-02,+5.020000E-02
-1.335600E+00,-1.600000E-02,+5.020000E-02
-1.335400E+00,-1.600000E-02,+4.980000E-02
-1.335200E+00,-1.600000E-02,+4.940000E-02
-1.335000E+00,-1.600000E-02,+4.980000E-02
-1.334800E+00,-1.600000E-02,+5.020000E-02
-1.334600E+00,-1.600000E-02,+4.980000E-02
-1.334400E+00,-8.000000E-03,+4.980000E-02
-1.334200E+00,-8.000000E-03,+4.940000E-02
-1.334000E+00,-8.000000E-03,+4.980000E-02
-1.333800E+00,+0.000000E+00,+5.020000E-02
-1.333600E+00,+0.000000E+00,+4.980000E-02
-1.333400E+00,-8.000000E-03,+4.980000E-02
-1.333200E+00,-8.000000E-03,+4.980000E-02
-1.333000E+00,-8.000000E-03,+4.980000E-02
-1.332800E+00,+0.000000E+00,+4.980000E-02
-1.332600E+00,+0.000000E+00,+4.980000E-02
-1.332400E+00,+0.000000E+00,+5.020000E-02
-1.332200E+00,+0.000000E+00,+5.020000E-02
-1.332000E+00,+0.000000E+00,+4.980000E-02
-1.331800E+00,+8.000000E-03,+4.980000E-02
-1.331600E+00,+8.000000E-03,+4.980000E-02
-1.331400E+00,+0.000000E+00,+4.980000E-02
-1.331200E+00,+0.000000E+00,+4.980000E-02
